,question,full_answer,drag_question,correct_answer,draggables
185,What are the most common seedless vascular plants?,"Ferns are the most common seedless vascular plants ( Figure below ). They usually have large divided leaves called fronds. In most ferns, fronds develop from a curled-up formation called a fiddlehead ( Figure below ). The fiddlehead looks like the curled decoration on the end of a stringed instrument, such as a fiddle. Leaves unroll as the fiddleheads grow and expand. Ferns grow in a variety of habitats, ranging in size from tiny aquatic species to giant tropical plants.","Ferns are the most _____ seedless vascular plants ( Figure below ). They usually have large divided leaves called fronds. In most ferns, fronds develop from a curled-up _____ called a fiddlehead ( Figure below ). The fiddlehead looks like the curled decoration on the _____ of a stringed _____, such as a fiddle. Leaves unroll as the fiddleheads grow and _____. Ferns grow in a variety of habitats, ranging in size from tiny aquatic _____ to giant tropical plants.","formation, instrument, end, common, expand, species","end, species, formation, common, expand, instrument"
187,What is a mass spectrometer used to measure?,"Although the masses of the electron, the proton, and the neutron are known to a high degree of precision (Table 1.3 ""Properties of Subatomic Particles*""), the mass of any given atom is not simply the sum of the masses of its electrons, protons, and neutrons. For example, the ratio of the masses of 1H (hydrogen) and 2H (deuterium) is actually 0.500384, rather than 0.49979 as predicted from the numbers of neutrons and protons present. Although the difference in mass is small, it is extremely important because it is the source of the huge amounts of energy released in nuclear reactions (Chapter 20 ""Nuclear Chemistry""). Because atoms are much too small to measure individually and do not have a charge, there is no convenient way to accurately measure absolute atomic masses. Scientists can measure relative atomic masses very accurately, however, using an instrument called a mass spectrometer. The technique is conceptually similar to the one Thomson used to determine the mass-to-charge ratio of the electron. First, electrons are removed from or added to atoms or molecules, thus producing charged particles called ions. When an electric field is applied, the ions are accelerated into a separate chamber where they are deflected from their initial trajectory by a magnetic field, like the electrons in Thomson’s experiment. The extent of the deflection depends on the mass-to-charge ratio of the ion. By measuring the relative deflection of ions that have the same charge, scientists can determine their relative masses (Figure 1.25 ""Determining Relative Atomic Masses Using a Mass Spectrometer""). Thus it is not possible to calculate absolute atomic masses accurately by simply adding together the masses of the electrons, the protons, and the neutrons, and absolute atomic masses cannot be measured, but relative masses can be measured very accurately. It is actually rather common in chemistry to encounter a quantity whose magnitude can be measured only relative to some other quantity, rather than absolutely. We will encounter many other examples later in this text. In such cases,.","Although the masses of the electron, the proton, and the neutron are known to a high degree of precision (Table 1.3 ""Properties of Subatomic Particles*""), the mass of any given atom is not simply the sum of the masses of its electrons, protons, and neutrons. For example, the ratio of the masses of 1H (hydrogen) and 2H (deuterium) is actually 0.500384, rather than 0.49979 as predicted from the numbers of neutrons and protons present. Although the difference in mass is small, it is extremely _____ because it is the source of the huge amounts of _____ released in _____ reactions (Chapter 20 ""Nuclear Chemistry""). Because atoms are much too small to measure individually and do not have a charge, there is no convenient way to accurately measure absolute atomic masses. Scientists can measure relative atomic masses very accurately, however, using an instrument called a mass spectrometer. The technique is conceptually similar to the one Thomson used to determine the mass-to-charge ratio of the electron. First, electrons are removed from or added to atoms or molecules, thus producing charged particles called ions. When an electric field is applied, the ions are _____ into a separate chamber where they are deflected from their initial trajectory by a magnetic field, like the electrons in Thomson’s experiment. The extent of the deflection depends on the mass-to-charge ratio of the ion. By measuring the relative deflection of ions that have the same charge, scientists can determine their relative masses (Figure 1.25 ""Determining Relative Atomic Masses Using a Mass Spectrometer""). Thus it is not possible to _____ absolute atomic masses accurately by simply adding together the masses of the electrons, the protons, and the neutrons, and absolute atomic masses cannot be measured, but relative masses can be measured very accurately. It is actually rather common in chemistry to encounter a quantity whose magnitude can be measured only relative to some other quantity, rather than absolutely. We will encounter many other examples later in this text. In such cases,.","calculate, important, accelerated, energy, 049979, nuclear","accelerated, calculate, 049979, important, nuclear, energy"
188,Global warming will raise ocean levels due to melt water from glaciers and the greater volume of what?,"Range shifts are already being observed: for example, some European bird species ranges have moved 91 km northward. The same study suggested that the optimal shift based on warming trends was double that distance, suggesting that the populations are not moving quickly enough. Range shifts have also been observed in plants, butterflies, other insects, freshwater fishes, reptiles, and mammals. Climate gradients will also move up mountains, eventually crowding species higher in altitude and eliminating the habitat for those species adapted to the highest elevations. Some climates will completely disappear. The rate of warming appears to be accelerated in the arctic, which is recognized as a serious threat to polar bear populations that require sea ice to hunt seals during the winter months: seals are the only source of protein available to polar bears. A trend to decreasing sea ice coverage has occurred since observations began in the mid-twentieth century. The rate of decline observed in recent years is far greater than previously predicted by climate models. Finally, global warming will raise ocean levels due to melt water from glaciers and the greater volume of warmer water. Shorelines will be inundated, reducing island size, which will have an effect on some species, and a number of islands will disappear entirely. Additionally, the gradual melting and subsequent refreezing of the poles, glaciers, and higher elevation.","Range shifts are already being observed: for example, some _____ bird species ranges have moved 91 km northward. The same study suggested that the optimal shift based on warming trends was double that distance, suggesting that the populations are not moving quickly enough. Range shifts have also been observed in plants, butterflies, other insects, freshwater fishes, reptiles, and mammals. Climate gradients will also move up mountains, eventually crowding species higher in altitude and eliminating the habitat for those species adapted to the _____ elevations. Some climates will completely disappear. The rate of warming appears to be accelerated in the arctic, which is recognized as a serious threat to polar bear populations that require sea ice to hunt seals during the winter _____: seals are the only _____ of protein available to polar bears. A trend to decreasing sea ice coverage has occurred since observations began in the mid-twentieth century. The rate of decline observed in recent years is far greater than previously predicted by climate models. Finally, global warming will raise ocean _____ due to melt water from glaciers and the greater volume of warmer water. Shorelines will be inundated, reducing island size, which will have an effect on some species, and a number of islands will disappear entirely. Additionally, the _____ melting and subsequent refreezing of the poles, glaciers, and higher elevation.","levels, source, gradual, months, highest, European","European, highest, levels, gradual, months, source"
189,What are groups of young stars loosely held together by gravity called?,Open clusters are groups of young stars loosely held together by gravity.,_____ clusters are _____ of _____ stars loosely _____ _____ by _____.,"groups, young, together, gravity, Open, held","groups, gravity, young, held, together, Open"
190,What does a pollinator pick up from its body and carry directly to another plant of the same species?,"Wind-blown pollen might land anywhere and be wasted. Another adaptation solved this problem. Plants evolved traits that attract specific animal pollinators. Like the bee in Figure below , a pollinator picks up pollen on its body and carries it directly to another plant of the same species. This greatly increases the chance that fertilization will occur.","Wind-blown pollen might land anywhere and be wasted. _____ adaptation solved this problem. Plants _____ traits that attract _____ animal pollinators. Like the bee in Figure below , a pollinator picks up pollen on its body and carries it directly to another plant of the _____ _____. This greatly increases the chance that fertilization will _____.","specific, species, occur, Another, same, evolved","occur, evolved, Another, species, same, specific"
191,What does the driving of turbines by the heating of water to steam accomplish?,Nuclear reactors heat water to steam to drive a turbine for generation of electricity.,Nuclear _____ heat _____ to _____ to _____ a _____ for generation of _____.,"steam, electricity, water, drive, turbine, reactors","turbine, water, drive, electricity, steam, reactors"
195,Where does the embryo develop in a plant?,"In plants, the embryo develops inside of the female plant after fertilization. Algae do not keep the embryo inside of themselves but release it into water. This was the first feature to evolve that separated plants from green algae. This is also the only adaptation shared by all plants.","In plants, the embryo develops inside of the female plant after _____. _____ do not keep the embryo inside of themselves but release it into _____. This was the first feature to evolve that separated plants from green _____. This is also the _____ _____ shared by all plants.","water, only, Algae, fertilization, adaptation, algae","only, adaptation, fertilization, Algae, water, algae"
198,Which branch of biology studies animal behavior?,"The branch of biology that studies animal behavior is called ethology. Ethologists usually study how animals behave in their natural environment. They try to determine the cause of behaviors, how behaviors develop, and how and why behaviors evolve.","The branch of biology that _____ animal behavior is _____ _____. _____ usually study how animals behave in their _____ environment. They try to determine the cause of behaviors, how behaviors develop, and how and why behaviors _____.","ethology, natural, Ethologists, called, evolve, studies","called, studies, Ethologists, evolve, natural, ethology"
206,What do living things need to survive?,"There are three main ocean zones based on distance from shore. They are the intertidal zone , neritic zone , and oceanic zone . Distance from shore influences how many nutrients are in the water. Why? Most nutrients are washed into ocean water from land. Therefore, water closer to shore tends to have more nutrients. Living things need nutrients. So distance from shore also influences how many organisms live in the water.","There are three main ocean zones based on distance from shore. _____ are the intertidal zone , neritic zone , and oceanic zone . Distance from shore influences how many nutrients are in the water. Why? _____ nutrients are _____ _____ ocean water from land. Therefore, water _____ to shore tends to have more nutrients. Living things need nutrients. So distance from shore _____ influences how many organisms live in the water.","washed, closer, into, They, also, Most","closer, washed, into, Most, also, They"
211,"What term that shows how fast a population is growing includes new members added to the population over a given period, as well as old members removed from the population?",The population growth rate is how fast a population is growing. The letter r stands for the growth rate. The growth rate equals the number of new members added to the population in a year for each 100 members already in the population. The growth rate includes new members added to the population and old members removed from the population. Births add new members to the population. Deaths remove members from the population. The formula for population growth rate is:.,The population growth rate is how fast a population is growing. The letter r _____ for the growth rate. The growth rate equals the _____ of new members added to the population in a _____ for each _____ members already in the population. The growth rate includes new members added to the population and _____ members removed from the population. _____ add new members to the population. Deaths remove members from the population. The formula for population growth rate is:.,"year, old, stands, number, Births, 100","old, 100, year, number, stands, Births"
212,The rings of what planet can be easily seen from earth?,All of the outer planets have numerous moons. They also have planetary rings made of dust and other small particles. Only the rings of Saturn can be easily seen from Earth.,All of the _____ _____ have _____ moons. They also have planetary rings _____ of dust and other _____ particles. Only the rings of Saturn _____ be easily seen from Earth.,"planets, outer, small, can, numerous, made","numerous, small, outer, can, made, planets"
213,What planet is a blue green color?,"Uranus is a lot like Jupiter and Saturn. The planet is composed mainly of hydrogen and helium. There is a thick layer of gas on the outside. Further on the inside is liquid. But Uranus has a higher percentage of icy materials than Jupiter and Saturn. These materials include water, ammonia, and methane. Uranus is also different because of its blue-green color. Clouds of methane filter out red light. This leaves a blue-green color. The atmosphere of Uranus has bands of clouds. These clouds are hard to see in normal light. The result is that the planet looks like a plain blue ball.","Uranus is a lot like Jupiter and Saturn. The planet is composed mainly of hydrogen and helium. There is a thick layer of gas on the outside. Further on the inside is liquid. But Uranus has a higher _____ of icy materials than Jupiter and Saturn. These materials include water, ammonia, and methane. Uranus is also _____ because of its blue-green color. Clouds of methane _____ out red light. This leaves a blue-green color. The _____ of Uranus has bands of clouds. These clouds are _____ to see in normal light. The result is that the planet looks like a _____ blue ball.","different, atmosphere, plain, filter, hard, percentage","hard, atmosphere, filter, different, plain, percentage"
221,What is the name of the two metalloids in the carbon group called?,"Group 14 is called the carbon group. This group contains two metalloids: silicon and germanium. Carbon is a nonmetal, and the remaining elements in this group are metals.","Group 14 is _____ the carbon group. This group _____ two _____: _____ and _____. Carbon is a _____, and the remaining elements in this group are metals.","germanium, metalloids, nonmetal, silicon, contains, called","called, germanium, contains, silicon, metalloids, nonmetal"
222,What is the name of the zone where water is deeper than 200 meters called?,"The aphotic zone is water deeper than 200 meters. This is where too little sunlight penetrates for photosynthesis to occur. As a result, producers must make ""food"" by chemosynthesis , or the food must drift down from the water above.","The _____ zone is water deeper than 200 _____. This is where too _____ sunlight penetrates for photosynthesis to _____. As a result, producers must make ""food"" by _____ , or the food must drift down from the water _____.","little, aphotic, above, chemosynthesis, meters, occur","little, meters, above, chemosynthesis, occur, aphotic"
223,Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,"Radiation has several important uses, including diagnosing and treating cancer.","_____ has _____ important _____, _____ _____ and treating _____.","several, uses, diagnosing, Radiation, including, cancer","several, including, diagnosing, uses, Radiation, cancer"
224,Many adults and some children suffer from a deficiency of lactase. these individuals are said to be lactose intolerant because they cannot digest the lactose found in what?,"Many adults and some children suffer from a deficiency of lactase. These individuals are said to be lactose intolerant because they cannot digest the lactose found in milk. A more serious problem is the genetic disease galactosemia, which results from the absence of an enzyme needed to convert galactose to glucose. Certain bacteria can metabolize lactose, forming lactic acid as one of the products. This reaction is responsible for the “souring” of milk.","Many _____ and some children suffer from a deficiency of lactase. These individuals are said to be lactose intolerant because they cannot digest the lactose _____ in milk. A more serious _____ is the genetic _____ galactosemia, which _____ from the absence of an enzyme needed to convert galactose to glucose. Certain bacteria can metabolize lactose, forming lactic acid as one of the products. This reaction is _____ for the “souring” of milk.","results, responsible, problem, found, adults, disease","disease, found, adults, problem, responsible, results"
231,What are formed by the attraction between oppositely charged ions?,Ionic bonds are formed by the attraction between oppositely charged ions.,_____ bonds are _____ by the attraction _____ _____ _____ _____.,"between, formed, ions, oppositely, Ionic, charged","Ionic, formed, ions, between, oppositely, charged"
236,More than half of all known organisms are what?,"The majority of arthropods are insects (Class Insecta). In fact, more than half of all known organisms are insects. There may be more than 10 million insect species in the world, although most of them have not yet been identified. In terms of their numbers and diversity, insects clearly are the dominant animals in the world.","The majority of arthropods are insects (Class Insecta). In fact, more than half of all known organisms are insects. There _____ be more than 10 million _____ species in the world, _____ most of _____ have not yet been identified. In terms of their _____ and diversity, insects clearly are the dominant _____ in the world.","insect, although, them, may, numbers, animals","animals, although, numbers, may, them, insect"
237,For what purpose does liver use the excess carbohydrate?,"Obesity With obesity at high rates in the United States, there is a public health focus on reducing obesity and associated health risks, which include diabetes, colon and breast cancer, and cardiovascular disease. How does the food consumed contribute to obesity? Fatty foods are calorie-dense, meaning that they have more calories per unit mass than carbohydrates or proteins. One gram of carbohydrates has four calories, one gram of protein has four calories, and one gram of fat has nine calories. Animals tend to seek lipid-rich food for their higher energy content. Greater amounts of food energy taken in than the body’s requirements will result in storage of the excess in fat deposits. Excess carbohydrate is used by the liver to synthesize glycogen. When glycogen stores are full, additional glucose is converted into fatty acids. These fatty acids are stored in adipose tissue cells—the fat cells in the mammalian body whose primary role is to store fat for later use. The rate of obesity among children is rapidly rising in the United States. To combat childhood obesity and ensure that children get a healthy start in life, in 2010 First Lady Michelle Obama launched the Let’s Move! campaign. The goal of this campaign is to educate parents and caregivers on providing healthy nutrition and encouraging active lifestyles in future generations. This program aims to involve the entire community, including parents, teachers, and healthcare providers to ensure that children have access to healthy foods—more fruits, vegetables, and whole grains—and consume fewer calories from processed foods. Another goal is to ensure that children get physical activity. With the increase in television viewing and stationary pursuits such as video games, sedentary lifestyles have become the norm. Visit www. letsmove. gov to learn more.","Obesity With obesity at high rates in the United States, _____ is a public health focus on reducing obesity and associated health risks, which include diabetes, colon and breast cancer, and cardiovascular disease. How does the food consumed contribute to obesity? Fatty foods are calorie-dense, meaning that they have more calories per unit mass than carbohydrates or proteins. One gram of carbohydrates has four calories, one gram of protein has four calories, and one gram of fat has nine calories. Animals tend to seek lipid-rich food for their higher energy _____. Greater amounts of food energy taken in than the body’s requirements will result in storage of the excess in fat deposits. Excess carbohydrate is used by the liver to synthesize glycogen. When glycogen stores are full, additional glucose is converted into fatty acids. These fatty acids are stored in adipose tissue cells—the fat cells in the mammalian body whose primary role is to store fat for later use. The rate of obesity among children is rapidly rising in the United States. To combat childhood obesity and ensure that children get a healthy _____ in life, in 2010 First Lady Michelle Obama launched the Let’s Move! campaign. The goal of this campaign is to educate parents and caregivers on _____ healthy nutrition and encouraging active lifestyles in future generations. This program aims to involve the entire community, including parents, teachers, and healthcare providers to ensure that children have access to healthy foods—more fruits, vegetables, and whole grains—and consume fewer calories from processed foods. Another goal is to ensure that children get physical activity. With the increase in television _____ and stationary pursuits such as video games, sedentary lifestyles have become the norm. _____ www. letsmove. gov to learn more.","start, providing, content, there, viewing, Visit","start, content, viewing, there, providing, Visit"
242,The mass of atoms is based on the number of protons and neutrons in what?,Atoms have a mass that is based largely on the number of protons and neutrons in their nucleus.,Atoms have a mass that is based _____ on the _____ of _____ and _____ in _____ _____.,"neutrons, nucleus, number, protons, largely, their","largely, number, their, protons, nucleus, neutrons"
