question,answer,question_with_blanks,draggables
"Protein digestion begins in the stomach as pepsinogen in gastric juice is converted to pepsin, the enzyme that hydrolyzes this?","The digestion of carbohydrates begins in the mouth as α-amylase breaks glycosidic linkages in carbohydrate molecules. Essentially no carbohydrate digestion occurs in the stomach, and food particles pass through to the small intestine, where α-amylase and intestinal enzymes convert complex carbohydrate molecules (starches) to monosaccharides. The monosaccharides then pass through the lining of the small intestine and into the bloodstream for transport to all body cells. Protein digestion begins in the stomach as pepsinogen in gastric juice is converted to pepsin, the enzyme that hydrolyzes peptide bonds. The partially digested protein then passes to the small intestine, where the remainder of protein digestion takes place through the action of several enzymes. The resulting amino acids cross the intestinal wall into the blood and are carried to the liver. Lipid digestion begins in the small intestine. Bile salts emulsify the lipid molecules, and then lipases hydrolyze them to fatty acids and monoglycerides. The hydrolysis products pass through the intestine and are repackaged for transport in the bloodstream. In cells that are operating aerobically, acetyl-CoA produced in stage II of catabolism is oxidized to carbon dioxide. The citric acid cycle describes this oxidation, which takes place with the formation of the coenzymes reduced nicotinamide adenine dinucleotide (NADH) and reduced flavin adenine dinucleotide (FADH2). The sequence of reactions needed to oxidize these coenzymes and transfer the resulting electrons to oxygen is called the electron transport chain, or the respiratory chain. The compounds responsible for this series of oxidation-reduction reactions include proteins known ascytochromes, Fe·S proteins, and other molecules that ultimately result in the reduction of molecular oxygen to water. Every time a compound with two carbon atoms is oxidized in the citric acid cycle, a respiratory chain compound accepts the electrons lost in the oxidation (and so is reduced) and then passes them on to the next metabolite in the chain. The energy released by the electron transport chain is used to transport hydrogen (H+) ions from the mitochondrial matrix to the intermembrane space. The flow of H+ back through ATP synthase leads to the synthesis and release of ATP from adenosine diphosphate (ADP) and inorganic phosphate ions (Pi) in a process known Saylor URL: http://www. saylor. org/books.","The digestion of carbohydrates begins in the mouth as α-amylase breaks glycosidic linkages in carbohydrate molecules. Essentially no carbohydrate digestion occurs in the stomach, and food particles pass through to the small intestine, where α-amylase and intestinal enzymes convert complex carbohydrate molecules (starches) to monosaccharides. The monosaccharides then pass through the lining of the small intestine and into the bloodstream for transport to all body cells. Protein digestion begins in the stomach as pepsinogen in gastric juice is converted to pepsin, the enzyme that hydrolyzes peptide bonds. The partially digested protein then passes to the small intestine, where the remainder of protein digestion takes place through the action of several enzymes. The resulting amino acids cross the intestinal wall into the blood and are carried to the liver. Lipid digestion begins in the small intestine. Bile salts emulsify the lipid molecules, and then lipases hydrolyze them [DROP] fatty acids and monoglycerides. The hydrolysis products pass [DROP] the intestine and are repackaged for transport in the bloodstream. In cells that are operating aerobically, acetyl-CoA produced in stage II of catabolism is oxidized to carbon dioxide. The citric acid cycle describes this oxidation, which takes [DROP] with the formation of the coenzymes reduced nicotinamide adenine dinucleotide (NADH) and reduced flavin adenine dinucleotide (FADH2). The sequence of reactions needed to oxidize [DROP] coenzymes and transfer the resulting electrons to oxygen is called the electron transport chain, or the respiratory chain. The compounds responsible for this series of oxidation-reduction reactions include proteins known ascytochromes, Fe·S proteins, and other molecules that ultimately result in the reduction of molecular oxygen to water. Every time a compound with two carbon atoms is oxidized in the citric acid cycle, a respiratory chain [DROP] accepts the electrons lost in the oxidation (and so is reduced) and then passes them on to the next metabolite in the [DROP] The energy released by the electron transport chain is used to transport hydrogen (H+) ions from the mitochondrial matrix to the intermembrane space. The flow of H+ back through ATP synthase leads to the synthesis and release of ATP from adenosine diphosphate (ADP) and inorganic phosphate ions (Pi) in a process known Saylor URL: http://www. saylor. org/books.","to, through, place, these, compound, chain."
What term means the percentage by mass of each element in a compound?,"Percent Composition The elemental makeup of a compound defines its chemical identity, and chemical formulas are the most succinct way of representing this elemental makeup. When a compound’s formula is unknown, measuring the mass of each of its constituent elements is often the first step in the process of determining the formula experimentally. The results of these measurements permit the calculation of the compound’s percent composition, defined as the percentage by mass of each element in the compound. For example, consider a gaseous compound composed solely of carbon and hydrogen. The percent composition of this compound could be represented as follows: mass H × 100% mass compound mass C %C = × 100% mass compound.","Percent Composition The elemental makeup of a compound defines its chemical identity, and chemical formulas are the most succinct way of representing this elemental makeup. When a compound’s formula is unknown, measuring the mass of each of its constituent elements is often the first step [DROP] the process of determining the formula experimentally. The results of these measurements permit [DROP] calculation of the compound’s percent composition, defined as the percentage by mass of each element in the [DROP] For example, consider a gaseous compound composed solely of carbon and hydrogen. The percent composition of this compound could be represented [DROP] follows: mass H × 100% mass [DROP] mass C %C = × 100% mass [DROP]","in, the, compound., as, compound, compound."
A substance that displays different colors when in the presence of an acid or a base is called what?,"An acid-base indicator is a substance that displays different colors when in the presence of an acid or a base. How does that work? An indicator is a weak acid that ionizes within a known pH range, usually about 2 pH units. We can represent the protonated form of the indicator molecule as HIn and the deprotonated form as In − . The following equilibrium exists for the indicator.","An acid-base [DROP] is a substance that displays different colors [DROP] in [DROP] presence of an acid [DROP] a base. How does that work? An indicator is a [DROP] acid that ionizes within a known pH range, usually about 2 pH units. We can represent the protonated form of the indicator molecule as HIn and the deprotonated form as In − . The following equilibrium exists for [DROP] indicator.","indicator, when, the, or, weak, the"
What is the largest artery in the body called?,"Arteries are muscular blood vessels that carry blood away from the heart. They have thick walls that can withstand the pressure of blood being pumped by the heart. Arteries generally carry oxygen-rich blood. The largest artery is the aorta , which receives blood directly from the heart.","Arteries are muscular [DROP] vessels that carry blood away from the heart. They have thick [DROP] that can withstand [DROP] pressure of blood being pumped by the heart. Arteries generally carry oxygen-rich blood. The largest artery is the aorta , which receives blood directly from the [DROP]","blood, walls, the, heart."
What is a compound that can form ions when it dissolves in water called?,"acid will form a homogeneous solution with water. (In fact, the solubility of both butanol and pentanoic acid in water is quite low, only about 3 g per 100 g water at 25°C. ) 10. An electrolyte is any compound that can form ions when it dissolves in water. When a strong electrolyte dissolves in water, it dissociates completely to give the constituent ions. In contrast, when a weak electrolyte dissolves in water, it produces relatively few ions in solution.","acid will form a [DROP] solution with water. (In fact, the solubility of both butanol and pentanoic acid in water is quite low, only about 3 g per 100 g water at 25°C. ) 10. An electrolyte is any compound that can form ions when it dissolves in water. When a strong electrolyte dissolves in water, [DROP] dissociates completely to give the constituent ions. [DROP] contrast, when a weak [DROP] dissolves in water, [DROP] [DROP] relatively few ions in solution.","homogeneous, it, In, electrolyte, it, produces"
Hydrogen sulfide is a noxious and toxic gas produced from decaying organic matter that contains what?,Hydrogen sulfide is a noxious and toxic gas produced from decaying organic matter that contains sulfur. A lethal concentration in rats corresponds to an inhaled dose of 715 molecules per million molecules of air. How many molecules does this correspond to per mole of air? How many moles of hydrogen sulfide does this correspond to per mole of air?.,Hydrogen sulfide is a noxious and toxic gas produced from decaying organic matter that contains sulfur. A lethal concentration [DROP] rats [DROP] to an inhaled [DROP] of 715 molecules per million molecules [DROP] air. How many molecules does this correspond to per mole of air? How many moles of hydrogen sulfide does this correspond to per mole [DROP] air?.,"in, corresponds, dose, of, of"
What is the name for birds that live on water like ducks?,"Waterfowl are birds that live on the water. These include ducks, geese, swans, and pelicans, to name a few. Landfowl are ground-feeding birds such as chickens and turkeys. Penguins are a group of flightless birds adapted for life in the water with flippers. Diurnal raptors are birds of prey that hunt during the day. These include falcons, eagles and hawks. Nocturnal raptors hunt during the night. These include various types of owls. Parrots are brightly colored and very intelligent. They are found in the tropics and include cockatoos, parrots, and parakeets.","Waterfowl [DROP] birds that live on the [DROP] These include ducks, geese, swans, [DROP] pelicans, to name a few. Landfowl are ground-feeding birds such as chickens and turkeys. Penguins are a group of flightless birds [DROP] for life in the [DROP] with flippers. Diurnal raptors are birds of prey that hunt during the day. These include falcons, eagles and hawks. Nocturnal raptors hunt during the night. These [DROP] various types of owls. Parrots are brightly colored and very intelligent. They are found in the tropics and include cockatoos, parrots, and parakeets.","are, water., and, adapted, water, include"
What is the process of capturing a substance or particle from outside the cell by engulfing it with the cell membrane?,"Endocytosis is the process of capturing a substance or particle from outside the cell by engulfing it with the cell membrane. The membrane folds over the substance and it becomes completely enclosed by the membrane. At this point a membrane-bound sac, or vesicle pinches off and moves the substance into the cytosol. There are two main kinds of endocytosis:.","[DROP] is the [DROP] of capturing a substance or particle from outside [DROP] cell by engulfing it with the cell membrane. The membrane folds over the [DROP] and it becomes completely enclosed by the membrane. At this point a membrane-bound sac, or vesicle pinches off and moves the substance into the cytosol. There are two main kinds of [DROP]","Endocytosis, process, the, substance, endocytosis:."
"What instrument has a resolution many times greater than a light microscope, and can be used to see the details on the outside of a cell?","Use an electron microscope. This instrument has a resolution many times greater than a light microscope, and can be used to see the details on the outside of a cell. Some electron microscopes can also be used to see the details inside a cell.","Use [DROP] electron [DROP] This instrument has a resolution many times greater than a light microscope, [DROP] can be used to see the details on the outside of a cell. Some electron [DROP] can also be used to see the details inside a cell.","an, microscope., and, microscopes"
Energy is absorbed in the process of converting a liquid at its boiling point into a what?,"Energy is absorbed in the process of converting a liquid at its boiling point into a gas. As with the melting of a solid, the temperature of a boiling liquid remains constant and the input of energy goes into changing the state. The molar heat of vaporization of a substance is the heat absorbed by one mole of that substance as it is converted from a liquid to a gas. As a gas condenses to a liquid, heat is released. The molar heat of condensation of a substance is the heat released by one mole of that substance as it is converted from a gas to a liquid. Since vaporization and condensation of a given substance are the exact opposite processes, the numerical value of the molar heat of vaporization is the same as the numerical value of the molar heat of condensation, but opposite in sign. In other words, .","Energy is absorbed in the process of converting a liquid at its boiling point into [DROP] gas. As with the melting of [DROP] solid, the temperature of a boiling liquid remains constant and the input of energy goes into changing the state. The molar heat of vaporization of a substance is the heat absorbed by one mole of that [DROP] as it is converted from a liquid to a gas. As a gas condenses to a liquid, heat is released. The molar heat of condensation of a substance [DROP] the heat released by one mole of that substance as it is converted from a gas to a liquid. Since vaporization [DROP] condensation of a given substance are the exact opposite processes, the numerical value of the molar heat of vaporization is the same as the numerical value of the molar heat of condensation, but opposite in sign. In other words, [DROP]","a, a, substance, is, and, ."
Scientists that study dolphins and other life in the ocean are called what?,"Dolphins are living organisms, so studying them is part of the life sciences. The life sciences, however, are broken down into many fields. Scientists that study dolphins and other life in the ocean are called marine biologists.","Dolphins are living organisms, so studying them is part of [DROP] life sciences. The life sciences, however, are [DROP] down into many fields. Scientists that study dolphins and other life in [DROP] ocean are called marine biologists.","the, broken, the"
"The major classes of living members of this phylum include gastropods, bivalves, and cephalopods?","There are approximately 160,000 living species and probably 70,000 extinct species of mollusks. They are typically divided into ten classes, of which two are extinct. The major classes of living mollusks include gastropods, bivalves, and cephalopods ( Figure below ).","There are approximately [DROP] living [DROP] and probably 70,000 extinct species [DROP] mollusks. They are typically divided into ten classes, of which two are extinct. The major classes of living mollusks include gastropods, bivalves, and [DROP] ( Figure below ).","160,000, species, of, cephalopods"
The vestibulocochlear nerve is responsible for the senses of hearing and what else?,"motor nucleus), and their target (sensory nucleus or skeletal muscle). They are listed here with a brief explanation of each nerve (Figure 13.23). The olfactory nerve and optic nerve are responsible for the sense of smell and vision, respectively. The oculomotor nerve is responsible for eye movements by controlling four of the extraocular muscles. It is also responsible for lifting the upper eyelid when the eyes point up, and for pupillary constriction. The trochlear nerve and the abducens nerve are both responsible for eye movement, but do so by controlling different extraocular muscles. The trigeminal nerve is responsible for cutaneous sensations of the face and controlling the muscles of mastication. The facial nerve is responsible for the muscles involved in facial expressions, as well as part of the sense of taste and the production of saliva. The vestibulocochlear nerve is responsible for the senses of hearing and balance. The glossopharyngeal nerve is responsible for controlling muscles in the oral cavity and upper throat, as well as part of the sense of taste and the production of saliva. The vagus nerve is responsible for contributing to homeostatic control of the organs of the thoracic and upper abdominal cavities. The spinal accessory nerve is responsible for controlling the muscles of the neck, along with cervical spinal nerves. The hypoglossal nerve is responsible for controlling the muscles of the lower throat and tongue.","motor nucleus), and their target (sensory nucleus or skeletal muscle). They are listed here with a brief explanation of each nerve (Figure 13.23). The olfactory nerve and optic nerve are responsible for the sense of smell and vision, respectively. The oculomotor nerve is responsible for eye movements by controlling [DROP] of the extraocular muscles. It is also responsible for lifting the upper eyelid when the eyes point up, and for pupillary constriction. The trochlear nerve and the abducens nerve are both responsible for eye movement, but do so by controlling different extraocular muscles. The trigeminal nerve is responsible for cutaneous [DROP] of the face and controlling the muscles of mastication. The facial nerve is responsible for the muscles involved in facial expressions, [DROP] [DROP] as part of the sense of taste and the production of saliva. The vestibulocochlear nerve is responsible for the senses of hearing and balance. The glossopharyngeal nerve is responsible for controlling muscles in the oral cavity and upper throat, as well as part of the sense of taste and the production of saliva. The vagus nerve is responsible for contributing to homeostatic control of the organs of the thoracic and upper abdominal cavities. The spinal accessory nerve [DROP] responsible for controlling the muscles of [DROP] neck, along with cervical spinal nerves. The hypoglossal nerve is responsible for controlling the muscles of the lower throat and tongue.","four, sensations, as, well, is, the"
About how full is the outer energy level in metalloids?,"Metalloids such as boron have an outer energy level that is about half full. These elements need to gain or lose too many electrons for a full outer energy level to come about easily. As a result, these elements are not very reactive. They may be able to conduct electricity but not very well.",Metalloids such as boron have an outer energy level that is about half full. These elements need to gain or lose too many electrons for a full outer energy [DROP] to come about easily. [DROP] a [DROP] these elements are not very reactive. They may be able [DROP] conduct electricity but [DROP] very well.,"level, As, result,, to, not"
The anterior muscles of the neck facilitate swallowing and what else?,Figure 11.13 Muscles of the Anterior Neck The anterior muscles of the neck facilitate swallowing and speech. The suprahyoid muscles originate from above the hyoid bone in the chin region. The infrahyoid muscles originate below the hyoid bone in the lower neck.,Figure 11.13 Muscles of the Anterior [DROP] The anterior muscles of the neck facilitate swallowing and speech. The suprahyoid muscles originate [DROP] above the hyoid bone in the chin region. The infrahyoid [DROP] originate below the hyoid bone [DROP] the lower neck.,"Neck, from, muscles, in"
"At the bottom of lakes and ponds, bacteria in what zone break down dead organisms that sink there?","Lakes and Ponds Lakes and ponds can range in area from a few square meters to thousands of square kilometers. Temperature is an important abiotic factor affecting living things found in lakes and ponds. In the summer, thermal stratification of lakes and ponds occurs when the upper layer of water is warmed by the sun and does not mix with deeper, cooler water. Light can penetrate within the photic zone of the lake or pond. Phytoplankton (algae and cyanobacteria) are found here and carry out photosynthesis, providing the base of the food web of lakes and ponds. Zooplankton, such as rotifers and small crustaceans, consume these phytoplankton. At the bottom of lakes and ponds, bacteria in the aphotic zone break down dead organisms that sink to the bottom. Nitrogen and phosphorus are important limiting nutrients in lakes and ponds. Because of this, they are determining factors in the amount of phytoplankton growth in lakes and ponds. When there is a large input of nitrogen and phosphorus (from sewage and runoff from fertilized lawns and farms, for example), the growth of algae skyrockets, resulting in a large accumulation of algae called an algal bloom. Algal blooms (Figure 44.24) can become so extensive that they reduce light penetration in water. As a result, the lake or pond becomes aphotic and photosynthetic plants cannot survive. When the algae die and decompose, severe oxygen depletion of the water occurs. Fishes and other organisms that require oxygen are then more likely to die, and resulting dead zones are found across the globe. Lake Erie and the Gulf of Mexico represent freshwater and marine habitats where phosphorus control and storm water runoff pose significant environmental challenges.","Lakes and Ponds Lakes [DROP] ponds can range in area from a few square meters to thousands of square kilometers. Temperature is an important abiotic factor affecting living things found in lakes and ponds. [DROP] the summer, thermal stratification of lakes and ponds occurs when the upper layer of water is warmed by the sun and does not mix with deeper, cooler water. Light can penetrate within the photic zone of the lake or pond. Phytoplankton (algae and cyanobacteria) are found here and carry out photosynthesis, providing the base of the food web of lakes and ponds. [DROP] such as rotifers and small crustaceans, consume these phytoplankton. At the bottom of lakes and ponds, bacteria in the aphotic zone break down dead organisms that sink to the bottom. Nitrogen and phosphorus are important limiting nutrients in lakes and ponds. Because of this, they are determining factors in the amount of phytoplankton growth in lakes and ponds. When there is a large input of nitrogen and phosphorus (from sewage and runoff from fertilized lawns and farms, for example), the growth of algae skyrockets, resulting in a large accumulation of algae called an algal bloom. Algal blooms (Figure 44.24) can become so [DROP] that they reduce light penetration in water. As a result, the lake or pond becomes aphotic and photosynthetic plants cannot survive. When the algae die and decompose, severe oxygen depletion of the water occurs. Fishes and [DROP] organisms that require oxygen are then more likely to die, [DROP] resulting dead zones are found across the globe. Lake Erie and the Gulf of Mexico represent freshwater and marine habitats where phosphorus control and storm water runoff pose significant environmental challenges.","and, In, Zooplankton,, extensive, other, and"
How do plants and algae both make food?,"Like plants, algae contain chlorophyll and make food by photosynthesis.","[DROP] plants, [DROP] [DROP] chlorophyll and make food by photosynthesis.","Like, algae, contain"
Newly duplicated chromosomes are divided into two daughter nuclei during what stage?,"During mitosis, the newly duplicated chromosomes are divided into two daughter nuclei.","During mitosis, the [DROP] duplicated [DROP] are divided into [DROP] daughter nuclei.","newly, chromosomes, two"
What is the general composition of the continental crust?,The average composition of continental crust is granite.,The [DROP] composition [DROP] continental crust is [DROP],"average, of, granite."
What is the name of the science that studies matter and the changes material substances undergo?,"Summary Chemistry is the study of matter and the changes material substances undergo. It is essential for understanding much of the natural world and central to many other scientific disciplines, including astronomy, geology, paleontology, biology, and medicine.","Summary Chemistry [DROP] the study of matter and the changes material substances [DROP] It is essential for understanding much of the natural world [DROP] central to many other scientific disciplines, including astronomy, geology, paleontology, biology, and medicine.","is, undergo., and"
What characteristic of particles determines how they are carried by flowing water?,The size of particles determines how they are carried by flowing water. This is illustrated in Figure below .,The size of particles determines how [DROP] are carried by [DROP] [DROP] This is illustrated in Figure below .,"they, flowing, water."
A statement that describes what always happens under certain conditions in nature is also known as what?,Scientists think of nature as a single system controlled by natural laws. Scientists strive to increase their understanding of the natural world by discovering natural laws. Laws of nature are expressed as scientific laws. A scientific law is a statement that describes what always happens under certain conditions in nature.,Scientists think of [DROP] [DROP] a single system controlled by [DROP] laws. Scientists strive to increase their understanding of the natural world by [DROP] natural laws. Laws of nature are expressed as scientific laws. A scientific law is a [DROP] that describes what always happens under certain conditions in nature.,"nature, as, natural, discovering, statement"
Mitosis and meiosis are both forms of division of the nucleus in these?,"Comparing Meiosis and Mitosis Mitosis and meiosis are both forms of division of the nucleus in eukaryotic cells. They share some similarities, but also exhibit distinct differences that lead to very different outcomes (Figure 11.7). Mitosis is a single nuclear division that results in two nuclei that are usually partitioned into two new cells. The nuclei resulting from a mitotic division are genetically identical to the original nucleus. They have the same number of sets of chromosomes, one set in the case of haploid cells and two sets in the case of diploid cells. In most plants and all animal species, it is typically diploid cells that undergo mitosis to form new diploid cells. In contrast, meiosis consists of two nuclear divisions resulting in four nuclei that are usually partitioned into four new cells. The nuclei resulting from meiosis are not genetically identical and they contain one chromosome set only. This is half the number of chromosome sets in the original cell, which is diploid.","Comparing Meiosis and Mitosis Mitosis and meiosis are both forms of division of the nucleus in eukaryotic cells. They share some similarities, but also exhibit distinct differences that lead to very different [DROP] (Figure 11.7). Mitosis is a single nuclear division that results in two nuclei that are usually partitioned into two new cells. The nuclei [DROP] from a mitotic division [DROP] genetically identical to the original nucleus. They have the same number of sets of chromosomes, one set in the case of haploid cells and two sets in the case of diploid cells. In most plants and all animal species, it is typically diploid cells that undergo mitosis [DROP] form new diploid cells. In contrast, meiosis consists of two nuclear divisions resulting in four nuclei that are usually partitioned into four new cells. The nuclei resulting from meiosis are not genetically identical and they contain one chromosome set [DROP] This is half the number of chromosome sets in the original cell, which [DROP] diploid.","outcomes, resulting, are, to, only., is"
Water is a versatile solvent that can dissolve many ionic and polar molecular solutes to make what?,Water is a versatile solvent that can dissolve many ionic and polar molecular solutes to make aqueous solutions.,Water is a versatile solvent that can [DROP] many ionic [DROP] polar [DROP] solutes to make aqueous solutions.,"dissolve, and, molecular"
What unit of pressure is named for the scientist whose discoveries about pressure in fluids led to a law of the same name?,"In the above equation for pressure, force is expressed in Newtons (N) and area is expressed in square meters (m 2 ). Therefore, pressure is expressed in N/m 2 , which is the SI unit for pressure. This unit is also called the Pascal (Pa) . It is named for the scientist Blaise Pascal whose discoveries about pressure in fluids led to a law of the same name. Pressure may also be expressed in the kilopascal (kPa), which equals 1000 Pascals. For example, the correct air pressure inside a mountain bike tire is usually about 200 kPa.","In the above equation [DROP] pressure, force is expressed in Newtons (N) and area is expressed in square [DROP] [DROP] 2 ). Therefore, pressure is [DROP] in N/m 2 , which is the SI unit for pressure. This unit is also called the Pascal (Pa) . It is named for the scientist Blaise Pascal whose discoveries about pressure in fluids led to a law of the same name. Pressure may also be expressed in the kilopascal (kPa), which equals 1000 Pascals. [DROP] example, the correct air pressure inside a mountain bike tire is usually [DROP] 200 kPa.","for, meters, (m, expressed, For, about"
What are the parts used in electronic devices such as computers called?,"Electronic components are the parts used in electronic devices such as computers. Types of electronic components include diodes, transistors, and integrated circuits.","Electronic components are [DROP] parts [DROP] in electronic devices such as [DROP] Types of electronic components include diodes, transistors, and integrated circuits.","the, used, computers."
"Milk is usually subjected to what process, where high temperatures denature the proteins in bacteria so they cannot carry out functions needed to grow and multiply?","When milk is pasteurized, it is heated to high temperatures. These high temperatures denature the proteins in bacteria, so they cannot carry out needed functions to grow and multiply.","When milk is pasteurized, it is heated to high temperatures. These high temperatures denature the proteins [DROP] [DROP] so they cannot carry out needed functions [DROP] grow and multiply.","in, bacteria,, to"
Fossil fuels are made out of what two objects?,"Fossil fuels are made from plants and animals that lived hundreds of millions of years ago. The plants and animals died. Their remains settled onto the ground and at the bottom of the sea. Layer upon layer of organic material was laid down. Eventually, the layers were buried very deeply. They experienced intense heat and pressure. Over millions of years, the organic material turned into fossil fuels.","Fossil fuels are made from plants and animals that lived hundreds of millions of years ago. The plants and [DROP] died. Their remains settled onto the ground and at [DROP] bottom of the sea. Layer upon layer of organic material [DROP] laid [DROP] [DROP] the layers were buried very deeply. They experienced intense heat and pressure. [DROP] millions of years, the organic material turned into fossil fuels.","animals, the, was, down., Eventually,, Over"
What is defined as superheated gas with a positive electrical charge?,The Sun is made mostly of plasma. Plasma is superheated gas with a positive electrical charge.,The Sun is made [DROP] [DROP] plasma. Plasma is [DROP] gas with a positive electrical charge.,"mostly, of, superheated"
What is the ring of hooks tapeworms use to attach themselves?,"Tapeworms and flukes have suckers and other structures for feeding on a host. Tapeworms also have a scolex , a ring of hooks on their head to attach themselves to the host (see Figure below ). Unlike other invertebrates, tapeworms lack a mouth and digestive system. Instead, they absorb nutrients directly from the host’s digestive system with their suckers.","Tapeworms and flukes have suckers and other structures [DROP] feeding on [DROP] host. Tapeworms also have a scolex , [DROP] [DROP] of hooks on their head to attach themselves to the host (see Figure below ). Unlike other invertebrates, [DROP] lack a mouth and digestive system. Instead, they absorb nutrients directly from the host’s digestive system with their suckers.","for, a, a, ring, tapeworms"
"While light travels at different speeds in different kinds of matter, the speed of light is constant in what condition?","Although the speed of light is constant in a vacuum, light travels at different speeds in different kinds of matter. For example, light travels more slowly in glass than in air. Therefore, when light passes from air to glass, it slows down. If light strikes a sheet of glass straight on, or perpendicular to the glass, it slows down but passes straight through. However, if light enters the glass at an angle other than 90°, the wave refracts, or bends. This is illustrated in Figure below . How much light bends when it enters a new medium depends on how much it changes speed. The greater the change in speed, the more light bends.","Although the speed of light is constant in a vacuum, light travels at different speeds in different [DROP] of matter. For example, light travels more slowly in glass than in air. Therefore, when light passes from air to glass, it slows down. If light strikes a sheet of glass straight on, or perpendicular to the glass, it slows down [DROP] passes straight through. However, if light [DROP] the glass at an angle other than 90°, the [DROP] refracts, or bends. This is illustrated in [DROP] below . How much light bends when [DROP] enters a new medium depends on how much it changes speed. The greater the change in speed, the more light bends.","kinds, but, enters, wave, Figure, it"
What type of reproduction results in genetically unique offspring?,Sexual reproduction results in offspring that are genetically unique. They differ from both parents and also from each other. This occurs for a number of reasons.,Sexual reproduction results in offspring [DROP] [DROP] genetically unique. They differ from both [DROP] and also from each other. This occurs for a number of reasons.,"that, are, parents"
What grows through blue cheese that gives it the distinctive appearance and flavor?,"Humans have collected and grown mushrooms for food for thousands of years. Figure below shows some of the many types of mushrooms that people eat. Yeasts are used in bread baking and brewing alcoholic beverages. Other fungi are used in fermenting a wide variety of foods, including soy sauce, tempeh, and cheeses. Blue cheese has its distinctive appearance and flavor because of the fungus growing though it (see Figure below ).","Humans have [DROP] and grown mushrooms for food for thousands of years. Figure below shows some [DROP] the many types of mushrooms that people eat. Yeasts are used in [DROP] [DROP] and brewing [DROP] beverages. Other fungi are used in fermenting a wide variety of foods, including soy sauce, tempeh, and cheeses. Blue cheese has its distinctive appearance and flavor because [DROP] the fungus growing though it (see Figure below ).","collected, of, bread, baking, alcoholic, of"
A hot-water heating system uses what type of energy to heat water?,"A hot-water heating system uses thermal energy to heat water and then pumps the hot water throughout the building in a system of pipes and radiators. You can see a diagram of this type of heating system in Figure below . Typically, the water is heated in a boiler that burns natural gas or heating oil. There is usually a radiator in each room that gets warm when the hot water flows through it. The radiator transfers thermal energy to the air around it by conduction and radiation. The warm air then circulates throughout the room in convection currents. The hot water cools as it flows through the system and transfers its thermal energy. When it finally returns to the boiler, it is heated again and the cycle repeats.","A hot-water heating system uses thermal [DROP] to heat water and then pumps the hot water throughout the building in a system of pipes and radiators. You can see a diagram of this type of heating system [DROP] Figure below . Typically, the water is heated in a boiler that burns natural gas or heating oil. [DROP] is usually a radiator [DROP] each room that gets warm when the hot water flows through it. The radiator transfers thermal energy to the air around it by conduction and radiation. The warm air then circulates throughout the room in [DROP] currents. The hot water cools as [DROP] flows through the system and transfers its thermal energy. When it finally returns to the boiler, it is heated again and the cycle repeats.","energy, in, There, in, convection, it"
"Amniotes are animals that produce eggs with membranes possessing what property, which allowed them to lay eggs on land?","The first vertebrates to live fully on land were amniotes. Amniotes are animals that produce eggs with waterproof membranes. The membranes let gases but not water pass through. They allow embryos to breathe without drying out. Amniotic eggs were the first eggs that could be laid on land. The earliest amniotes evolved about 350 million years ago. Amniotes would eventually evolve into modern reptiles, mammals, and birds.","The first vertebrates to live fully on land were amniotes. [DROP] are animals that produce eggs with waterproof membranes. The membranes let [DROP] but not water pass through. They allow embryos to breathe without [DROP] out. Amniotic eggs [DROP] the first eggs [DROP] could be laid on land. The earliest amniotes evolved about 350 million years ago. Amniotes would eventually evolve into modern [DROP] mammals, and birds.","Amniotes, gases, drying, were, that, reptiles,"
What is the most common cause of lung cancer?,"The new cells gradually move up through the epidermis toward the surface of the body. As they move, they produce the tough, fibrous protein called keratin.","The [DROP] cells gradually move up through the epidermis toward the surface of the body. As [DROP] move, they produce the tough, fibrous protein called [DROP]","new, they, keratin."
To figure out the height of a wave you measure the distance between the crest and what?,The figure above also shows how the size of waves is measured ( Figure above ). The highest point of a wave is the crest . The lowest point is the trough . The vertical distance between a crest and a trough is the wave height . Wave height is also called amplitude . The horizontal distance between two crests is the wavelength . Both amplitude and wavelength are measures of wave size.,The figure above also shows how the size of waves is measured ( Figure above ). The highest point of a wave is the crest . The lowest point is the trough . The vertical distance between a crest and [DROP] trough [DROP] the wave height . Wave height is also called [DROP] [DROP] The [DROP] distance between two crests is [DROP] wavelength . Both amplitude and wavelength are measures of wave size.,"a, is, amplitude, ., horizontal, the"
A chemical property describes the ability of a substance to undergo a specific what?,"A chemical property describes the ability of a substance to undergo a specific chemical change. A chemical property of iron is that it is capable of combining with oxygen to form iron oxide, the chemical name of rust. The more general term for rusting and other similar processes is corrosion. Other terms that are commonly used in descriptions of chemical changes are burn, rot, explode, decompose, and ferment. Chemical properties are very useful in identifying substances. However, unlike physical properties, chemical properties can only be observed as the substance is in the process of being changed into a different substance.","A chemical property describes the [DROP] of a substance to undergo a specific chemical change. A chemical property of iron is that it is capable of combining with oxygen to form iron oxide, the chemical name of rust. The more general term [DROP] rusting and other similar processes is corrosion. [DROP] terms that are commonly used [DROP] descriptions of chemical changes are burn, rot, explode, decompose, and ferment. Chemical properties are very useful in identifying substances. However, unlike physical [DROP] chemical properties can only be observed [DROP] the substance is in the process of being changed into a different substance.","ability, for, Other, in, properties,, as"
Zinc reacting with hydrochloric acid produces bubbles of which gas?,Zinc reacting with hydrochloric acid produces bubbles of hydrogen gas.,[DROP] reacting [DROP] hydrochloric acid produces bubbles [DROP] hydrogen gas.,"Zinc, with, of"
